no. MS;No.;Pericope;Intro;Intro.Remarks;Intro.Transl;Thales;Thales ID;Intro.Fol.A;;Intro.Col.A;Intro.Line.A;Intro.Fol.Z;Intro.Col.Z;Intro.Line.Z;Taksa;Taksa.Trans;Taksa.Remarks;Transl.remarks;Taksa.Fol.A;Taksa.Col.A;Taksa.Line.A;Taksa.Fol.Z;Taksa.Col.Z;Taksa.Line.Z;Taksa.Remarks;Siglum;Siglum;Link;Link;MS-List.link;Pericope.Fol.A;Pericope.Col.A;Pericope.Line.A;Pericope.Fol.Z;Pericope.Col.Z;Pericope.Line.Z;Cross reference (corpus) [to be filled in aut.];Remarks Cross reference (corpus);Abbreviation;Version;Version.Remarks;Version.Syriac;Version.Transl;Denomination;Literature;Literature.link;Codicology;Pericope.remarks;Ref.remarks.;Cross.ref.Lect;Transl.Cross.ref.;Addition before;Addition after;Addition.Fol.A;Addition.Col.A;Addition.Line.A;Addition.Fol.Z;Addition.Col.Z;Addition.Line.Z;Ref.Bible.MS;Other Remarks;Words.Margin;no. reading Dissertation K.D. Jenner;;Structure formula 1;Structure formula 2;Structure formula 3;Structure formula 4;Structure formula 5;Title lectionary MS;fol;col;line;fol;col;Line;Remarks on title
10;010-0062;Dn#08:01-?;;;;;;;;;;;;;‏ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Second (Day) of the Week, of the Great Week;;;;;;;;;;6h10;06h10;;;06h10;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;220;;‎‏3‏‎;a.r.;gr+gr;C;;;;;;;;;
10;010-0073;Dn#09:20-27;;;;;;;;;;;;;‏ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Second (Day) of the Week, of the Great Week;;;;;;;;;;6h10;06h10;;;06h10;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;231;;‎‏4‏‎;mgsup;C;;;;;;;;;;
10;010-0008;Dn#02:01-16‎;;;;;;;;;;;;;‏ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Third (Day) of the Week, of the Great Week;;;;;;;;;;6h10;06h10;;;06h10;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;166;;‎‏4‏‎;mgsup-r.2+3;C;;;;;;;;;;
10;010-0033;Dn#03:31-04:09;;;;;;;;;;;;;‏ܕܬܠܬܐ ܒܫܒܐ ܕܢܝܚܬܐ‏‎;of the Third (Day) of the Week, of the Rest;;;;;;;;;;6h10;06h10;;;06h10;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;191;;‎‏4‏‎;mgsup;0;;;;;;;;;;
10;010-0080;Dn#10:04;;;;;;;;;;;;;‏ܡܐ ܕܗܘܐ ܟܗܢܐ‏‎;When one becomes a Priest;;;;;;;;;;6h10;06h10;;;06h10;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;237;;‎‏4‏‎;mgsup;0;;;;;;;;;;
10;010-0069;Dn#09:04-14;;;;;;;;;;;;;‏ܡܐ ܕܗܘܝܢ ܒܥܘ̈ܬܐ‏‎;When there are Rogations;;;;;;;;;;6h10;06h10;;;06h10;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;227;;‎‏4‏‎;mgsup;0;;;;;;;;;;
11;011-0007;Js#14:06-?;;;;;;;;;;;;;‏ܕܣܘܠܩܐ‏‎;of the Ascension;;;;;;;;;;6h12;06h12;;;06h12;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;253;;‎‏3‏‎;mgsup;*;;;;;;;;;;
11;011-0008;Js#24:16;;;;;;;;;;;;;‏ܕܒܝܬ ܝܠܕܗ ܕܡܪܢ‏‎;of the Birth of our Lord;;;;;;;;;;6h12;06h12;;;06h12;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;254;;‎‏0‏‎;h2+;0;;;;;;;;;;
11;011-0005;Js#08:01;;;;;;;;;;;;;‏ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ‏‎;of the Eve of Preparation, of the Middle Week of the Fast;;;;;;;;;;6h12;06h12;;;06h12;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;251;;‎‏0‏‎;lw+gr;*;;;;;;;;;;
11;011-0004;Js#06:27;;;;;;;;;;;;;‏ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ‏‎;of the Fifth (Day) of the Week, of the First Week of the Fast;;;;;;;;;;6h12;06h12;;;06h12;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;250;;‎‏0‏‎;gr+w1;*-MG;;;;;;;;;;
11;011-0001;Js#05:01;;;;;;;;;;;;;‏ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ‏‎;of the Fourth (Day) of the Week, of the First Week of the Fast;;;;;;;;;;6h12;06h12;;;06h12;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;247;;‎‏0‏‎;lw+gr;*;;;;;;;;;;
11;011-0003;Js#06:22;;;;;;;;;;;;;‏ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Fourth (Day) of the Week, of the Great Week;;;;;;;;;;6h12;06h12;;;06h12;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;249;;‎‏0‏‎;gr;*;;;;;;;;;;
11;011-0002;Js#06:06;;;;;;;;;;;;;‏ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Fourth (Day) of the Week, of the Week of the Rest;;;;;;;;;;6h12;06h12;;;06h12;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;248;;‎‏0‏‎;lw+h1+;*;;;;;;;;;;
11;011-0006;Js#08:30-?;;;;;;;;;;;;;‏ܕܪܙܐ‏‎;of the Mystery;;;;;;;;;;6h12;06h12;;;06h12;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;252;;‎‏3‏‎;mginf;0;;;;;;;;;;
12;012-0016;Jr#31:31-?;;;;;;;;;;;;;‏ܘܕܠܠܝܐ ܕܢܓܗ ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܗ ܕܡܪܢ‏‎;and of the Night, of the Dawn of the Great First (Day) of the Week, of the Resurrection of our Lord;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;270;;‎‏1‏‎;mgsup;C;;;;;;;;;;
12;012-0014;Jr#31:15;;;;;;;;;;;;;‏ܒܕܘܟܪܢܐ ܕܝܠܘ̈ܕܐ‏‎;for the Commemoration of the Infants;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;268;;‎‏1‏‎;gr+gr-gec;C;;;;;;;;;;
12;012-0019;Jr#38:14;;;;;;;;;;;;;‏ܒܕܘܟܪܢܐ ܕܣܗ̈ܕܐ‏‎;for the Commemoration of the Martyrs;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;273;;‎‏1‏‎;gr+gr-gec;C;;;;;;;;;;
12;012-0012;Jr#30:18-?;;;;;;;;;;;;;‏ܕܣܘܠܩܗ ܕܡܪܢ ܕܠܘܬ ܐܒܘܗܝ ܡܫܒܚܐ‏‎;of the Ascension of our Lord towards his Blessed Father;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;266;;‎‏0‏‎;mgsup;*-MG;;;;;;;;;;
12;012-0010;Jr#23:05-08;;;;;;;;;;;;;‏ܕܝܠܕܐ‏‎;of the Birth;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;264;;‎‏0‏‎;mgcot;C;;;;;;;;;;
12;012-0013;Jr#31:02;;;;;;;;;;;;;‏ܕܒܝܬ ܝܠܕܐ ܘܕܦܛܝܪ̈ܐ‏‎;"of the Birth; and of the Unleavened Bread";;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;267;;‎‏1‏‎;gr+gr-gec;C;;;;;;;;;;
12;012-0003;Jr#02:04-?;;;;;;;;;;;;;‏ܕܥܪܘܒܬܐ ܕܢܝܚܬܐ‏‎;of the Eve of Preparation, of the Rest;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;257;;‎‏0‏‎;mgsup;C;;;;;;;;;;
12;012-0005;Jr#09:24;;;;;;;;;;;;;‏ܕܚܡܫܐ ܒܫܒܐ ܕܪܐܙܐ‏‎;of the Fifth (Day) of the Week, of Mystery;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;259;;‎‏1‏‎;gr+gr;C;;;;;;;;;;
12;012-0009;Jr#18:01;;;;;;;;;;;;;‏ܕܚܡܫܐ ܒܫܒܐ ܕܪܐܙܐ‏‎;of the Fifth (Day) of the Week, of Mystery;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;263;;‎‏1‏‎;gr+gr;C;;;;;;;;;;
12;012-0015;Jr#31:31;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܦܢܛܩܘ̈ܣܛܐ‏‎;of the First (Day) of the Week, of Pentecost;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;269;;‎‏1‏‎;gr+gr-gec;C;;;;;;;;;;
12;012-0002;Jr#01:01;;;;;;;;;;;;;‏ܘܕܚܕܒܫܒܐ ܚ[ܘܕ]ܬ[ܐ]‏‎;of the First (Day) of the Week, of Renewal;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;256;;‎‏1‏‎;gr;BKT;;;;;;;;;;
12;012-0001;Jr#01:01;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܐܘܫܥܢܐ‏‎;of the First (Day) of the Week, of the Hosannas;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;255;;‎‏1‏‎;gr+gr-gec;BKT;;;;;;;;;;
12;012-0007;Jr#16:14-?;;;;;;;;;;;;;‏ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ ܘܒܕܘܟܪܢܐ ܕܫܠܝ̈ܚܐ‏‎;"of the Fourth (Day) of the Week, of the Week of the Rest; and for the Commemoration of the Apostles";;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;261;;‎‏0‏‎;mgsup;*-MG;;;;;;;;;;
12;012-0004;Jr#09:22;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܗ ܕܡܪܢ ܒܐܝܡܡܐ‏‎;of the Great First (Day) of the Week of the Resurrection of our Lord, in Day-Time;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;258;;‎‏0‏‎;mgsup;?;;;;;;;;;;
12;012-0017;Jr#33:10-22;;;;;;;;;;;;;‏ܕܒܝܬ ܕܢܚܐ ܒܐܝܡܡܐ‏‎;of the Manifestation, in daytime;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;271;;‎‏2‏‎;mgsup;C;;;;;;;;;;
12;012-0008;Jr#16:16-17:13;;;;;;;;;;;;;‏ܕܠܠܝܐ ܕܢܓܗ ܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܐ ܘܕܬܠܬܐ ܒܫܒܐ ܕܢܝܚܬܐ‏‎;"of the Night of the Dawn of the Great First (Day) of the Week, of the Resurrection; and the Third (Day) of the Week, of the Rest";;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;262;;‎‏0‏‎;mgsup;?;;;;;;;;;;
12;012-0006;Jr#11:15-?;;;;;;;;;;;;;‏ܕܚܫܐ ܒܠܠܝܐ‏‎;of the Passion, in the Night;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;260;;‎‏2‏‎;mgcot;0;;;;;;;;;;
12;012-0011;Jr#26:01;;;;;;;;;;;;;‏ܕܫܒܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Sabbath, of the Week of the Rest;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;265;;‎‏1‏‎;gr+gr;C;;;;;;;;;;
12;012-0018;Jr#35:01;;;;;;;;;;;;;‏ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Second (Day) of the Week, of the Week of the Rest;;;;;;;;;;6h14;06h14;;;06h14;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;272;;‎‏1‏‎;gr+gr;C;;;;;;;;;;
13;013-0010;Ez#21:13;;;;;;;;;;;;;‏ܕܡܓܗ̈ܝ ܥܪܘܒܬܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Dawn of the Eve of Preparation, of the Great Week;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;283;;‎‏1‏‎;lw+gr+gr;*;;;;;;;;;;
13;013-0011;Ez#28:11;;;;;;;;;;;;;‏ܕܡܓܗ̈ܝ ܥܪܘܒܬܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Dawn of the Eve of Preparation, of the Great Week;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;284;;‎‏1‏‎;lw+gr+w1;0;;;;;;;;;;
13;013-0007;Ez#18:01;;;;;;;;;;;;;‏ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Eve of Preparation, of the Week of the Rest;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;280;;‎‏1‏‎;gr+gr;*;;;;;;;;;;
13;013-0009;Ez#20:30;;;;;;;;;;;;;‏ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Fifth (Day) of the Week, of the Great Week;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;282;;‎‏3‏‎;h2+gr;0;;;;;;;;;;
13;013-0013;Ez#34:11;;;;;;;;;;;;;‏ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Fifth (Day) of the Week, of the Week of the Rest;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;286;;‎‏1‏‎;gr+gr;C;;;;;;;;;;
13;013-0001;Ez#01:01;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܡܥܠܝ ܫܒܬܐ ܪܒܬܐ‏‎;of the First (Day) of the Week, of the Beginning of the Great Week;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;274;;‎‏1‏‎;gr+gr;BKT;;;;;;;;;;
13;013-0005;Ez#07:10;;;;;;;;;;;;;‏ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Fourth (Day) of the Week, of the Great Week;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;278;;‎‏1‏‎;gr+h1+;0;;;;;;;;;;
13;013-0015;Ez#47:02;;;;;;;;;;;;;‏ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Fourth (Day) of the Week, of the Week of the Rest;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;288;;‎‏3‏‎-MG;gr+w1;*-KL;;;;;;;;;;
13;013-0014;Ez#37:01;;;;;;;;;;;;;‏ܕܩܝܡܬܗ ܕܡܪܢ‏‎;of the Resurrection of our Lord;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;287;;‎‏1‏‎;lw+gr;*-MG-ORT;;;;;;;;;;
13;013-0006;Ez#09:02;;;;;;;;;;;;;‏ܕܫܒܬܐ ܕܢܓܗ ܚܕܒܫܒܐ ܕܦܛܝܪܐ‏‎;of the Sabbath, of Dawn of the First (Day) of the Week, of the Unleavened Bread;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;279;;‎‏3‏‎;h2++gr;0;;;;;;;;;;
13;013-0008;Ez#19:01;;;;;;;;;;;;;‏ܕܫܒܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Sabbath, of the Week of the Rest;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;281;;‎‏1‏‎;gr+w1;*-KL;;;;;;;;;;
13;013-0002;Ez#03:04;;;;;;;;;;;;;‏ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Second (Day) of the Week, of the Great Week;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;275;;‎‏3‏‎;h2++gr;0;;;;;;;;;;
13;013-0012;Ez#33:07;;;;;;;;;;;;;‏ܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Second (Day) of the Week, of the Week of the Rest;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;285;;‎‏1‏‎;h1++gr;0;;;;;;;;;;
13;013-0004;Ez#04:16;;;;;;;;;;;;;‏ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Third (Day) of the Week, of the Great Week;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;277;;‎‏1‏‎;lw+gr+w1;0;;;;;;;;;;
13;013-0003;Ez#03:22;;;;;;;;;;;;;‏ܡܐ ܕܗܘܐ ܟܗܢܐ‏‎;When one becomes a Priest;;;;;;;;;;6h15;06h15;;;06h15;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;276;;‎‏1‏‎;h2++h1+;0;;;;;;;;;;
14;014-0040;Pr#22:28-23:18;;;;;;;;;;;;;‏ܒܕܘܟܪܢܐ ܕܝܘܚܢܢ ܡܥܡܕܢܐ‏‎;for the Commemoration of John the Baptist;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;328;;‎‏4‏‎;mgsup;C;;;;;;;;;;
14;014-0009;Pr#09:01-12;;;;;;;;;;;;;‏ܒܕܘܟܪܢܐ ܕܫܠܝܚ̈ܐ‏‎;for the Commemoration of the Apostles;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;297;;‎‏4‏‎;mgsup;0;;;;;;;;;;
14;014-0025;Pr#16:06b-24;;;;;;;;;;;;;‏ܒܕܘܟܪܢܐ ܕܫܠܝܚ̈ܐ‏‎;for the Commemoration of the Apostles;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;313;;‎‏4‏‎;mgsup;C;;;;;;;;;;
14;014-0047;Pr#24:01-20;;;;;;;;;;;;;‏ܒܕܘܟܪܢܐ ܕܥܢܝ̈ܕܐ‏‎;for the Commemoration of the Departed;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;335;;‎‏4‏‎;mgsup;C-ORT;;;;;;;;;;
14;014-0061;Pr#30:01-09;;;;;;;;;;;;;‏ܒܕܘܟܪܢܐ ܕܝܠܕܬ ܐܠܗܐ‏‎;for the Commemoration of the God-Bearer;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;349;;‎‏4‏‎;mgsup;0;;;;;;;;;;
14;014-0046;Pr#24:01-20;;;;;;;;;;;;;‏ܒܕܘܟܪܢܐ ܕܢܒܝ̈ܐ‏‎;for the Commemoration of the Prophets;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;334;;‎‏4‏‎;mgsup;C-ORT;;;;;;;;;;
14;014-0015;Pr#11:01;;;;;;;;;;;;;‏ܕܣܘܠܩܐ‏‎;of the Ascension;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;303;;‎‏1‏‎;a.r.;gr;C;;;;;;;;;
14;014-0023;Pr#15:20-16:05;;;;;;;;;;;;;‏ܕܣܘܠܩܗ ܕܡܪܢ‏‎;of the Ascension of our Lord;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;311;;‎‏4‏‎;mgsup;0;;;;;;;;;;
14;014-0065;Pr#31:01-09;;;;;;;;;;;;;‏ܕܡܥܠܝ ܨܘܡܐ‏‎;of the Beginning of the Fast;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;353;;‎‏2‏‎;mgsup;0;;;;;;;;;;
14;014-0012;Pr#10:01;;;;;;;;;;;;;‏ܕܒܝܬ ܝܠܕܐ‏‎;of the Birth;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;300;;‎‏1‏‎;a.r.;gr;C-Ort;;;;;;;;;
14;014-0045;Pr#24:01;;;;;;;;;;;;;‏ܕܐܦܣܩ̈ܦܐ‏‎;of the Bishops;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;333;;‎‏1‏‎;a.r.;gr;C;;;;;;;;;
14;014-0049;Pr#24:11;;;;;;;;;;;;;‏ܕܐܦܣ̈ܩܦܐ‏‎;of the Bishops;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;337;;‎‏1‏‎;a.r.;mgsup;0;;;;;;;;;
14;014-0029;Pr#17:10-23;;;;;;;;;;;;;‏[ܕܥܪܘܒܬܐ] ◽◽◽ܫܒܬܐ ܪܒܬܐ‏‎;of the Eve of Preparation (of) the Great Week;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;317;;‎‏1‏‎;mgsup;0;;;;;;;;;;
14;014-0020;Pr#13:14-22a?;;;;;;;;;;;;;‏ܕܥܪܘܒܬܐ ܕܚܫܐ‏‎;of the Eve of Preparation, of Passion;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;308;;‎‏4‏‎;mgsup;*;;;;;;;;;;
14;014-0051;Pr#25:05;;;;;;;;;;;;;‏ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܪܒܬܐ‏‎;of the Eve of Preparation, of the Great Week;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;339;;‎‏1‏‎;a.r.;gr+gr;C;;;;;;;;;
14;014-0050;Pr#25:02-19;;;;;;;;;;;;;‏ܕܥܪܘܒܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Eve of Preparation, of the Week of the Rest;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;338;;‎‏3‏‎;-;mgsup;0;;;;;;;;;
14;014-0013;Pr#10:07-12;;;;;;;;;;;;;‏ܕܚܡܫܐ ܒܫܒܐ ܕܪܐܙܐ‏‎;of the Fifth (Day) of the Week, of Mystery;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;301;;‎‏4‏‎;mgsup;0;;;;;;;;;;
14;014-0033;Pr#19:18-[26];;;;;;;;;;;;;‏ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ‏‎;of the Fifth (Day) of the Week, of the Week of the Rest;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;321;;‎‏3‏‎;gr+gr;C;;;;;;;;;;
14;014-0021;Pr#14:10-26;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܚܡܫܬ ܥܣܪ‏‎;of the First (Day) in the Week, the fifteenth ;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;309;;‎‏4‏‎;mgsup;0;;;;;;;;;;
14;014-0019;Pr#12:19-?;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܐܪܒܬܥܣܪ‏‎;of the First (Day) in the Week, the Fourtheenth;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;307;;‎‏4‏‎;mgsup;0;;;;;;;;;;
14;014-0030;Pr#17:24-18:09;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܬܫܬ ܥܣܪ‏‎;of the First (Day) in the Week, the nineteenth ;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;318;;‎‏4‏‎;mgsup;0;;;;;;;;;;
14;014-0027;Pr#16:25-17:09;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܫܒܬ ܥܣܪ‏‎;of the First (Day) in the Week, the sixteenth;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;315;;‎‏4‏‎;mgsup;*;;;;;;;;;;
14;014-0031;Pr#18:10-24;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܥܣܪܝܢ‏‎;of the First (Day) in the Week, the twentieth;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;319;;‎‏4‏‎;mgsup;0;;;;;;;;;;
14;014-0011;Pr#10:01-16;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܒܬܪ ܝܠܕܐ‏‎;of the First (Day) of the Week, after the Birth;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;299;;‎‏4‏‎-KL;p.r.;gr;C-ORT;;;;;;;;;
14;014-0006;Pr#08:22-36?;;;;;;;;;;;;;‏ܕܚܕܒܫܒܐ ܕܩܕܡ ܝܠܕܐ‏‎;of the First (Day) of the Week, before the Birth;;;;;;;;;;6h16;06h16;;;06h16;;;;;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;294;;‎‏4‏‎;mgsup;0;;;;;;;;;;
