"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40"
"67","wmrc","rvxcct","rkch","jwtrn","lbbtjnj","rqm","qykj","dnyw","svr","tjwb","bmdkj","lyn","ljw","dqwdc","mcrjt","mll","lcljmwn","crr","nctxqwn","wnsb","wcdr","dbjt","sbrh","dcpjr","bwr","wntmhwn","wtbk","mjwtwt","dmdkr","dbml","000514615067929189","bnjn","dqjljqj","wqjh","cbxwhj","lkwlhwn","sjt","xtjth","txcb","pjk"
"68","wnwhrh","dnhwwn","clmwh","swkl","smwnj","tmnjw","wlmhpk","drwgzj","qbr","wncbxwn","lsrjq","ntsjm","qrjt","pvjr","qdjc","ndwn","wqr","djtjr","wrgjn","hwt","wlbn","dwhj","kncjn","tmn","kwl","dlwz","bkm","msjbrnwt","dmr","dzd","000583711028704848","cmk","kchwn","bdr","pwmj","mdjn","wbkl","167","wmdj","xjwt"
"69","4mc","qcj","1chronicles","ttkl","wnrknwn","wcdrw","ctdl","lywhj","wmbrk","zrjpt","rkbk","mlkwn","wnpqw","brd","wnsq","nxz","bqrjt","brwk","msv","lqrb","jwsp","ptgm","lvnjn","wqrt","mkwn","llwz","djqd","ntdbr","dnxwm","wswphwn","00100896860986547","dprzl","ntr","bnwr","jmjnk","ntth","wbmrj","173","wxcb","pwrcn"
"70","dclj","qcjc","1kings","dxl","wkwrkm","wlkpr","wjhl","dtrjyn","lpyx","clj","tmwv","wlmtnqpw","mtk","knwct","wnrws","txmt","gmwhj","hjdjn","wdmrxm","wcr","qbwt","wcm","bxl","zjt","tmn","wbsrn","mnhrjn","nyjx","dpqdn","wxdjrjn","00108009305417082","lmqm","wxdw","bqwr","pynj","qjs","wklmdm","nqptj","wxmwl","mmrmrn"
"71","dxjwt","rbj","1samuel","wgbr","nmjqwn","wqrw","vrpw","wrxtkwn","hjd","dpwmh","ttptx","bhjkwn","dbnjmjn","ldbjt","xql","wmnjn","nbv","klhjn","171","wpqd","dcm","jljn","ddbxj","xwk","wntl","dprjs","tmh","wbhjn","dqdq","cbwqw","00156929019797199","przl","dlmmllw","ctxrw","glj","tlw","wlc","hrjh","wxzth","lgrbj"
"72","nnt","rjn","2chronicles","wrx","jbtj","wqvl","hjmntwn","xvhjhwn","prywp","dwjd","wqy","ksj","dmlk","dpj","dnqrwb","wnpc","jsr","nwr","bhrnwt","lmlk","qdmjkwn","mvwl","bzdjqwth","lgnsh","blbk","wglw","twrj","xljy","dqrb","cmn","00265017667844523","wdr","wlbzt","nrj","xjltn","txcb","wlkl","dnbvl","bdbr","mdbrn"
"73","dlxwj","wct","2kings","dvb","dcljmwn","djtbjn","mvwpjth","msbrt","rtxcct","ncqlwn","swth","tjkwn","lklh","dxwsj","wnsx","xwhwn","lhh","wnhw","ddnjx","mqbj","twr","wljt","dbvnt","lhh","brjn","jtkwn","wmhjmn","zhjt","dtrjn","ctlt","00271565495207668","nnj","nplxwn","ntnj","cbx","wmc","xkmt","bbjth","bmlk","ywr"
"74","nttnjxwn","wlkpr","2maccabees","jqrh","dksp","dqjcwn","tsrdjwhj","npsq","dkh","nxwr","pdw","wldbjt","wmx","dmyrj","bjwm","bms","lmrj","xzw","xptn","bkl","bmnjn","mrt","ltmnj","mrn","dpqdk","tbrkj","wmtxcb","mtqrj","dwmj","ybjtwn","00307765151515152","wmlkwt","nprwq","bcmj","prwq","wmdjn","djhbt","bclmh","nqwm","zjt"
"75","rjmth","xnn","2samuel","dlb","dqwr","mdbxh","xcwljk","dlmw","dmwc","ptkr","pwjg","xjj","wnsb","jdk","knwct","bsrh","wjhb","ldb","192","lwqbl","drwbjl","mrjn","wbsjmwt","qrjt","lbk","wcljn","wqblw","qdmjkwn","dxmjcj","lmctq","00394045534150613","wmjc","yhj","bjc","108","wtj","dmlkwhj","bhd","rkb","dbbl"
"76","wbcwlmh","xwhj","3esdras","dbrnc","jhbw","skwt","dtjb","ltmntsrx","dpr","sjr","trdwp","kck","wnxt","jkwn","dvm","gmj","wmjt","tjdjn","299","ljwntn","vwr","wklh","wksjtj","tjld","pwm","lbwjn","mrxwt","sjm","gbdw","lmzdhrw","0078125","dmlt","lqvl","crk","nbhtwn","wxwcbn","jhbt","bjcj","wlmwbdw","tkj"
"77","wntdlx","dmcmcjn","3maccabees","jwlpn","jwm","wxdt","cjqwt","msjt","lmbn","xcjb","wmxwtk","rgc","kjc","wdb","swt","mhpk","wzj","hjn","315","knc","xmcjn","lklhwn","wrwjx","wtwr","tqjpt","xjhjn","wlptkr","swhj","gdlj","lxmk","00947653429602888","xkj","bdtj","sjr","148","bjhwn","vll","blhg","wnm","xtkj"
"78","zjtwn","mtnj","4esdras","dmwt","lbjt","jjpjn","vrvql","ntwb","lmqrbw","xcwk","dgdckwn","djmt","bnjmjn","xmcjn","tgl","wqmt","dnxc","cwlm","394","vrjpwn","dpjl","cmh","ntvrpwn","xlm","wnclm","rmjtnj","hjkwn","vlj","grcwn","vln","000130235465722025","dlbjc","msr","wlyn","cwbx","djhw","wlmcmcw","blhn","xwt","bjnthwn"
"79","dbprxt","wbnj","4maccabees","qdmwhj","pqt","xjlk","yjrth","pwn","njt","xdwt","wlyhjwn","djlpt","dgl","dnskt","kwl","wtxjt","hjdjn","bjc","wndjykj","jhwn","wyprj","lwtj","mlkjhwn","prwn","mpqd","qrbwt","jllw","wnx","jdthwn","rjw","0001391827190736","lxrt","msjs","dxc","djnj","ljmt","wqjm","bml","bclhbjt","ddbr"
"80","txdjn","wmn","amos","wzbn","xblt","wprqw","kwsj","rwh","brtj","dmhwn","crrh","gwnh","bjtr","pwlwhj","hlkt","wxj","wslq","dxz","bcmj","wnplw","bhj","wrclm","nqrjnj","djl","mskn","mttn","mxz","dhkn","jtr","xywhj","000190027363940407","djc","wcw","wbkpn","111","lmlkt","bbn","bnjtwn","bdrwn","jdj"
"81","vpj","wxmcjn","apocalypse","bswg","xmr","bmypj","wbmwth","wmrmrnk","zdjqwt","gzr","drdjtwn","mtbj","rjch","wxmc","trb","cljw","bcmrjn","mjr","bdjn","xwhj","bpwm","nwhj","jwtj","dsdwm","twt","dnmlwn","slqw","hjkl","jwtm","bvntj","000233184785988185","bjl","kbjhwn","lmlk","nwdwn","mbdr","bprhsj","bpc","bknwct","wnhw"
"82","wnck","cbjt","bel","cljv","xsr","dbklzbn","xrjnh","xctwn","zwrbbjl","btcbwxt","tmyjn","wttrhbwn","bnj","xwk","jqd","dbllj","dbrjmjn","wyr","bmc","mrd","dqwdc","lwth","ttrbwn","bwh","wtsb","wktjc","wzlw","npcn","klw","dncmt","000237592397043295","hwjt","ltwqlt","pwmh","rnjt","wlmqvl","bzjn","brwx","dbjqjn","qnj"
"83","djwn","wkwmr","daniel","dlm","btrkj","dtbwr","qvpt","djrwr","djwnn","cwlvnh","ttnjxwn","dbmrj","dmjt","dtklt","dmtpnjn","tkljw","nbjh","bdn","bmdm","qjmw","dxrb","qwr","wgnbrwtk","rpq","wtdmr","qrnn","brwnj","lyjn","krml","ndxqjwhj","000238988160894183","lmwd","wthwjn","djhbt","nxdwn","wswsj","cdw","bxdwt","dnwkr","tbr"
"84","wlmcrw","cbj","dragon","dmlk","dcn","wltx","dbzdqh","xvhjn","dnjnw","rwm","wmtbjnjnn","ddnx","mjt","lsvr","lmxwt","bmcknh","bdk","dhljn","btwld","whw","whljn","dbn","wltwbjl","dmll","dnwbdk","wznjw","crjw","wmstrhb","lhhwn","nnwmwn","00025052889433248","mcbxjn","bxy","kwrsjh","prwqjnj","crbth","cnjh","cmwv","dwkrnhwn","dgrbj"
"85","dnsjtwn","dhnwn","ecclesiastes","jljn","lgnt","dkwmr","wdkwdnj","wxjjn","language","wjr","wttqdcwn","ntk","twb","wns","nxll","bxcwk","bmlkwt","jwt","cjn","wrb","blxwd","bdt","bbzx","lqbwt","lknwcth","bcwxlp","dzwg","cwbx","lhwn","qrhwn","000285641741779865","qjmt","mttb","djkwn","rxm","lbzt","cxqt","ctrr","jwdj","bjt"
"86","lmpr","mcm","exodus","wrwx","lmwtbk","ljmh","bbwms","wlbnjk","lwhj","tmljt","wtdnx","bcxq","bxbrwn","lmyr","cnt","mrtwn","cnj","kwlhwn","cjvt","spr","qwrbnh","cjn","dttwb","wcq","bcmj","dbrjh","mlp","dbc","ljbjc","tdhnt","000375","trjn","rmlwth","nplwn","vjbwth","rvn","dmtxz","dcl","mmlk","brjt"
"87","wnbrkkwn","nhr","ezekiel","xthwn","npcj","wcqlh","bjnthwn","mzmrjn","trjn","drmjn","dwnjhj","dcrwt","jtb","dmcjxwt","dmh","nxtjn","hnwn","mnk","clwm","dmn","wlklh","lbjt","qdctk","bsr","bnxl","mtry","mxrb","lmd","ljhwjd","wttklljn","000395858708891596","wdj","mtvrp","bcnt","wtj","dnp","dmvmyjw","ddjtq","nws","whnwn"
"88","wnrdpwnk","qjmw","ezra","dxkmt","skln","xwn","bkwr","sjpt","wdw","nxzwn","wdmrkn","plgwhj","lqrb","cjhwn","wtrb","rvl","rxb","wmnhwn","crvj","mrjn","pwlxn","lhn","ttvnp","dcmj","bzbn","nbwrwn","qrwhj","lmstr","lmwdjw","wywtj","000448564593301435","wlc","wbxkmth","qwb","bpwq","dnwcvwn","dxjlh","dhb","rvn","gpj"
"89","mvb","wrj","genesis","wrxh","wpwq","ljrtwth","bnwh","dctjljn","wklhwn","wqdjc","149","tsbwnh","whww","dmcknzbn","tkwn","twrh","dbjth","qdjc","dbjth","wqr","grbj","dlm","tmjmwtj","vnt","dmll","rglwhj","mgzj","xwc","lmxblwth","ttw","000461385576377058","wmnh","wcnhwn","tcm","bswg","gnt","dxzjn","djtb","wrmrm","jln"
"90","wbtwr","bjrx","habakkuk","dnk","xtj","mrqd","bqwr","kwp","hjkl","dtbjl","157","wmwbdjn","wxzw","jtjw","pwrcn","yrjr","mnc","xrjt","dbmnjn","bhw","jqd","lbn","wmcknw","srj","dmtnjn","wmkjkwt","drbwth","dnpch","lmxcb","dnjnw","000472315070483941","xnnj","dmlltwn","bdrt","pwrqn","lbch","dybjn","djwrdnn","wvm","ljkwn"
"91","swthwn","ctm","hosea","mbw","clmwt","lrqm","brkj","lzbt","lhjklh","tbt","161","wqvj","zgd","wmwc","ldr","ntpr","mwn","sbr","dbrh","lcm","jkn","ljk","ddbwr","wpq","hwjtwn","bbjtj","jqrhwn","tlbbw","lqc","wzbjt","000516742455560149","kwhj","yhl","bqlh","ttrjm","dptgm","jyp","dktjb","ybt","dxdjr"
"92","wbpwq","dkr","isaiah","qwct","dmj","dbzq","bxkjmwt","ngmrwnh","ltrcjc","wdjc","byjtnj","122","lgb","wnp","jdh","dpwrqnh","qwr","dmdm","dbrtw","xdw","mpq","mlt","dstr","qjmj","lhljn","bcwlvnhwn","nqjmn","blcn","ltljtj","wxvpw","000525087514585764","mrk","wjhwdjt","btn","144","wmd","lhd","dmhlk","bpw","pwr"
"93","dvwcw","dktjb","job","btrh","dnx","wpdt","ckb","npxznj","vwb","bwdh","dhnt","bhjmnwth","bdt","wmdbx","wqrb","nmll","slq","dxkmt","ddxl","rxmwt","mwr","mrw","xwlp","brt","tbjn","bdh","xcb","dmkjl","ltw","gjw","000646380270485282","nqwm","lmsbh","ncm","dbx","swsj","lmbyr","dmwcj","dcrj","mkj"
"94","gdjkj","dlw","joel","lkl","wcbxh","skt","ckxw","nwpwn","dswrj","dclhbjt","dmgdp","dmtjhbw","btr","mnrt","mtqvlw","wbdrw","whlk","bdwn","dgdp","dnhwwn","mcrjt","mnw","wdjtbt","tjldw","wthw","bdj","ybjnhwn","mlp","ltxwm","lmkb","000770653514180025","wbjn","dbmc","tbr","dlbj","dcrr","lplx","dnbl","wcwxw","bptkr"
"95","nlxkwn","tjn","jonah","mlt","wlmc","dkwcn","clj","pnjhwn","jtjhwn","rjtk","sir","gzrh","dmk","dsjnj","dbn","xwsn","wtr","bjn","dhjdjn","kwlhwn","bmcx","ljh","wnpqnj","ctj","xwhj","bjndb","wnpr","rgth","lxbrwn","wnwqjh","000845266507557677","nqjm","drmj","grbj","jnj","lklnc","mks","dnj","ctdjw","wstd"
"96","tjll","whnwn","joshua","nsb","wvjbw","wnsjk","cpjr","qdnjh","lmdj","yhj","tmvjk","pyjt","hnwn","blbh","dnj","nttj","xth","mlt","dhnwn","grt","pwrcn","npc","lmstkrw","gzr","bxwrjb","bnwr","ttryw","wkbr","mjhjn","dntns","000847288676236045","wdy","lmttb","jkj","tbjl","lkwc","mqvljn","dpqdn","nbl","cwd"
"97","tpyxw","wxnn","judges","nxd","xzjr","dnptx","crjr","tstwd","mctwt","lmyr","wcwzbnj","skljn","wnpq","cdr","jhwn","ljmwth","dwnj","mnjn","djhwdj","njqnwr","mnjnhwn","thw","wnwqjkwn","lbrj","djwmn","brk","dbxwb","jtjk","mtjhb","ttdjnwn","00092630712227254","dcljv","lmvm","cpn","wdw","jnjk","mttzj","dwkt","prsj","djnt"
"98","wrnjn","dprs","judith","wjd","dklhjn","qjnj","ctbj","twxl","nrxm","dlwxj","bxwlmn","zdjqjn","xjmlk","ptwr","jdwhj","tkcp","qdmjk","zdjq","dmjt","xsn","wtltjn","qdmjk","dprwqhwn","bjth","jdjk","brw","dlcnhwn","mtkcp","nctkx","dnlwvwn","00149164677804296","wcwlvnh","msqt","nbwzrdn","kwlt","twj","mwth","dxnn","tdkjw","dtjmn"
"99","wtklj","kwrc","leviticus","clj","dmtnjxjn","tkbcw","cwx","183","whjkl","bcmk","dmtqrbt","wnydjwhj","xjn","xmwhj","wqdjc","wrwxt","qdmwhj","grt","dmlkwt","bjc","brnwn","brt","157","ckjm","pst","bswkl","dmtktbjn","qvjr","njn","jqdjn","00156853281853282","zmr","qjvwn","nwq","mwt","wcp","qblw","dxzqj","wpnjh","mdjn"
"100","tjbwt","ctjtj","malachi","ljvn","wkmnw","wrjb","dbh","bdrmswq","vjbw","lqdjc","dpkj","wnz","cbcwl","mxr","bwk","dswklh","kkr","rwx","dmll","dmdjnt","lmdjnt","dljt","163","dlj","wthlk","bxbrwn","dtgdc","wtxz","nvwptj","ryw","00174969123095924","dcdrk","qvjlt","jlm","ldbbwhj","lplgh","rxmh","glwhj","xwn","npwq"
